StateName,Population,TotalCrimes,ViolentCrimes,Murder,Rape,Robbery,AggravatedAssault,ProperyCrimes,Burglary,LarcenyTheft,MotorVehicleTheft,TotalCrimesPerH,ViolentCrimesPerH,MurderPerH,RapePerH,RobberyPerH,AggravatedAssaultPerH,ProperyCrimesPerH,BurglaryPerH,LarcenyTheftPerH,MotorVehicleTheftPerH,TotalViolentCrimesPerH,TotalMurderPerH,TotalRapePerH,TotalRobberyPerH,TotalAggravatedAssaultPerH,TotalProperyCrimesPerH,TotalBurglaryPerH,TotalLarcenyTheftPerH,TotalMotorVehicleTheftPerH
Alabama,2368137,218543,9559,141,681,2969,6036,96540,23309,73326,5982,9229,404,6,29,126,255,4077,985,3096,253,22346,283,1771,6463,14337,174450,38151,124710,12601
Alaska,470248,39850,3450,16,465,552,2425,16471,2014,13183,1274,8475,734,4,99,118,516,3503,429,2803,271,,,,,,,,,
Arizona,4856365,364263,19925,254,1296,6494,11881,157989,39563,109293,17568,7501,411,6,27,134,245,3254,815,2251,362,,,,,,,,,
Arkansas,1654464,176379,11049,95,901,2179,7874,76304,22290,51769,3918,10661,668,6,55,132,476,4613,1348,3129,237,,,,,,,,,
California,30591410,1930516,135504,1443,6806,51675,75580,829754,185381,516213,128160,6311,443,5,23,169,248,2713,606,1687,419,,,,,,,,,
Colorado,3444448,245644,12315,100,1635,2883,7799,110456,20861,80120,9475,7132,358,3,48,84,227,3207,606,2326,276,,,,,,,,,
Connecticut,2885923,157448,9532,123,519,3414,5476,69192,12937,50044,6211,5456,331,5,18,119,190,2398,449,1734,216,,,,,,,,,
Delaware,235789,28338,2463,31,102,902,1428,11706,2435,8463,808,12019,1045,14,44,383,606,4965,1033,3589,343,,,,,,,,,
Florida,9106904,886716,58197,542,2792,17316,37547,385161,92299,268516,24346,9737,640,6,31,191,413,4230,1014,2948,268,,,,,,,,,
Georgia,3343710,365015,19571,275,782,6554,11960,162931,40191,109686,13065,10917,586,9,24,197,358,4873,1202,3280,391,,,,,,,,,
Hawaii,950268,68432,2548,19,218,891,1420,31668,5760,22007,3901,7202,269,2,23,94,150,3333,607,2316,411,,,,,,,,,
Idaho,918860,52294,2422,15,377,194,1836,23725,4320,18534,871,5692,264,2,42,22,200,2583,471,2017,95,,,,,,,,,
Illinois,8985550,617398,19564,627,1956,18790,26593,274934,59038,190193,25703,6872,218,7,22,210,296,3060,658,2117,287,,,,,,,,,
Indiana,2674033,219734,7619,89,812,2458,4260,101770,20940,76306,5480,8218,285,4,31,92,160,3806,784,2854,205,,,,,,,,,
Iowa,1827065,126463,6760,27,676,976,5081,56380,12758,40786,3019,6922,370,2,37,54,279,3086,699,2232,166,,,,,,,,,
Kansas,2028015,163442,8618,81,889,1463,6185,73103,14799,53168,5136,8060,425,4,44,73,305,3605,730,2622,254,,,,,,,,,
Kentucky,2193122,183502,8453,104,784,3388,4177,83298,19795,59056,4447,8368,386,5,36,155,191,3799,903,2693,203,,,,,,,,,
Louisiana,1608403,172791,11811,276,593,2841,8101,74387,20919,48904,4959,10744,735,18,37,177,504,4625,1301,3041,309,,,,,,,,,
Maine,852315,51928,1232,14,296,373,549,24732,4420,19704,608,6093,145,2,35,44,65,2902,519,2312,72,,,,,,,,,
Maryland,1281465,134832,13364,253,427,4853,7831,54052,12632,35238,6182,10522,1043,20,34,379,612,4218,986,2750,483,,,,,,,,,
Massachusetts,6273048,347651,28812,208,1667,6496,20532,144968,36050,97804,11114,5542,460,4,27,104,328,2311,575,1559,178,,,,,,,,,
Michigan,5926783,470668,40035,504,2685,10698,26148,195299,54459,116962,23878,7942,676,9,46,181,442,3296,919,1973,403,,,,,,,,,
Minnesota,3476787,221435,6176,76,621,3125,5705,100913,17614,80540,6665,6369,178,3,18,90,165,2903,507,2317,192,,,,,,,,,
Mississippi,1148916,117586,4767,110,480,2138,2039,54026,17300,33477,3249,10235,415,10,42,187,178,4703,1506,2914,283,,,,,,,,,
Missouri,3649261,362526,21406,340,1079,5594,14393,159857,32565,114024,13268,9935,587,10,30,154,395,4381,893,3125,364,,,,,,,,,
